county,precinct,flippable_races,total_vote_gap,total_votes,avg_dva_needed,avg_margin,impact_score,votes_per_race,gap_per_race
FORSYTH,132,39,5685,140375,4.22,4.19,83.89,3599.358974358974,145.76923076923077
FORSYTH,131,35,4187,100755,4.15,4.12,39.56,2878.714285714286,119.62857142857143
FORSYTH,16,19,1782,38392,4.65,4.6,26.54,2020.6315789473683,93.78947368421052
FORSYTH,43,36,3719,75971,4.93,4.89,25.87,2110.3055555555557,103.30555555555556
FORSYTH,71,7,878,21706,4.08,4.05,22.28,3100.8571428571427,125.42857142857143
FORSYTH,809,6,503,18087,2.08,2.05,21.84,3014.5,83.83333333333333
FORSYTH,77,23,1929,49473,4.01,3.96,17.66,2151.0,83.8695652173913
FORSYTH,805,3,158,9392,2.82,2.78,16.67,3130.6666666666665,52.666666666666664
FORSYTH,55,9,969,27971,3.62,3.59,15.66,3107.8888888888887,107.66666666666667
FORSYTH,135,18,2340,46322,5.3,5.26,14.86,2573.4444444444443,130.0
FORSYTH,803,16,1158,24076,4.54,4.47,14.36,1504.75,72.375
FORSYTH,807,12,724,21354,3.09,3.03,13.45,1779.5,60.333333333333336
